BarCode,Part #,Product,Quantity,Code,Case,Tracking #,Set,Flag Notes,RFID
111122,"USB ""C"" TO USB ""A"" CABLE","USB ""C"" TO USB ""A"" CABLE",1,,1550,,Audio,,
7799,AUDIO MACBOOK CASE,AUDIO MACBOOK CASE,1,,1550,,Audio,,
3978,LIGHTJOCKEYUSBCABLE,USB-A to USB-B Cable,1,,1550,,Audio,,
5714,ETHERCONBARREL,Ethercon Barrels,4,,1550,,Audio,,
100016,3' CAT6 SHIELDED CABLE,CAT6 SHIELDED CABLE 3',10,,1550,,Audio,,
100015,10' Cat6 Network Cable,CAT6 10',10,,1550,,Audio,,
100014,USB-C to RJ45 Dongle,USB-C to RJ45 Dongle,1,,1550,,Audio,,
100013,USB-A to RJ45 Dongle,USB-A to RJ45 Dongle,1,,1550,,Audio,,
100012,RJ45 Coupler,RJ45 Coupler,2,,1550,,Audio,,
7758,AUDIO NETWORK CABLE KIT,AUDIO NETWORK CABLE KIT CASE,1,,1550,,Audio,,
3978,LIGHTJOCKEYUSBCABLE,USB-A to USB-B Cable,1,,1550,,Audio,,
100012,RJ45 Coupler,RJ45 Coupler,2,,1550,,Audio,,
100013,USB-A to RJ45 Dongle,USB-A to RJ45 Dongle,1,,1550,,Audio,,
100014,USB-C to RJ45 Dongle,USB-C to RJ45 Dongle,1,,1550,,Audio,,
5714,ETHERCONBARREL,Ethercon Barrels,4,,1550,,Audio,,
100016,3' CAT6 SHIELDED CABLE,CAT6 SHIELDED CABLE 3',10,,1550,,Audio,,
100015,10' Cat6 Network Cable,CAT6 10',10,,1550,,Audio,,
7757,AUDIO NETWORK CABLE KIT,AUDIO NETWORK CABLE KIT CASE,1,,1550,,Audio,,
5849,240FT SHIELDED ETHERCON REEL,240FT SHIELDED (BLUE) ETHERCON REEL,1,,1550,,Audio,,
5027,240FT SHIELDED ETHERCON REEL,240FT SHIELDED (BLUE) ETHERCON REEL,1,,1550,,Audio,,
6551,300FT SHIELDED ETHERCON REEL,300FT SHIELDED (RED) ETHERCON REEL,1,,1550,,Audio,,
6531,300FT SHIELDED ETHERCON REEL,300FT SHIELDED (RED) ETHERCON REEL,1,,1550,,Audio,,
7051,SM58,Shure - SM58,1,,XLR01,,Audio,,
6987,PASSSIVEDIBOX,Direct Box - Whirlwind (passive),1,,XLR01,,Audio,,
6985,PASSSIVEDIBOX,Direct Box - Whirlwind (passive),1,,XLR01,,Audio,,
111114,INSTASNAKEFEMALE,CBI - SH3-4F 3 Pin XLR Female to Cat5 Insta-Snake,3,,XLR01,,Audio,,
111115,INSTASNAKEMALE,CBI - SH3-4M 3-Pin XLR Male to Cat-5 Insta-Snake,3,,XLR01,,Audio,,
96603,"XLR MALE TO 1/4""TRS","XLR MALE TO 1/4""TRS",3,,XLR01,,Audio,,
1530,MICCLIP,Mic Clips,1,,XLR01,,Audio,,
3349,WINDSOCKSM58,SM58 Wind Sock,1,,XLR01,,Audio,,
1536,MINI-1/4''CABLE,"1/8"" / Mini - 1/4'' Cables",2,,XLR01,,Audio,,
6618,XLR FEMALE TO 1/4'TRS,XLR FEMALE TO 1/4'TRS,3,,XLR01,,Audio,,
1291,XLR100,XLR Cable 100',4,,XLR01,,Audio,,
1715,XLR50,XLR Cable 50',6,,XLR01,,Audio,,
1712,XLR25,XLR Cable 25',25,,XLR01,,Audio,,
1277,XLR10FT,XLR Cable 10',10,,XLR01,,Audio,,
6634,XLRCABLECASE,XLR Cable Case,1,,XLR01,,Audio,,
1289,NL4100,NL4 Cable 100',2,,1063,,Audio,,
5149,NL4PINSWITCHER,NL4 Pin Switcher,2,,1063,,Audio,,
1544,NL4BARREL,NL4 barrel,8,,1063,,Audio,,
1546,NL4JUMPER,NL4 jumper cable (2' to 4'),6,,1063,,Audio,,
1378,NL410,NL4 Cable 6 to 10',6,,1063,,Audio,,
1341,NL425,NL4 Cable 25',6,,1063,,Audio,,
1374,NL450,NL4 Cable 50',6,,1063,,Audio,,
1289,NL4100,NL4 Cable 100',2,,1063,,Audio,,
2700,NL4CABLECASE,NL4 Cable Case,1,,1063,,Audio,,
8239,CYBER POWER DESK TOP UPS,CYBER POWER DESK TOP UPS,1,,AC106,,Audio,,
1316,AC15FT/10FT,AC Cable 10'-15',6,,AC106,,Audio,,
1339,AC25FT,AC Cable 25',6,,AC106,,Audio,,
1371,AC50FT,AC Cable 50',6,,AC106,,Audio,,
1594,QUADBOX,Quad box,2,,AC106,,Audio,,
1590,POWERSTRIP,Power Strip,2,,AC106,,Audio,,
1469,CUBETAP,Cube Tap / edison,2,,AC106,,Audio,,
3108,DPLUG,D-Plug,2,,AC106,,Audio,,
1283,AC100FT,AC Cable 100',2,,AC106,,Audio,,
2699,ACCABLECASE,AC Cable Case,1,,AC106,,Audio,,
4689,VRX932LA1,JBL - VRX932LA-1,1,,521,,Audio,,
5513,VRX932LA1,JBL - VRX932LA-1,1,,521,,Audio,,
7574,JBL VRX932LA-1 CASE,JBL VRX932LA-1 CASE,1,,521,,Audio,,
5515,VRX932LA1,JBL - VRX932LA-1,1,,520,,Audio,,
4527,VRX932LA1,JBL - VRX932LA-1,1,,520,,Audio,,
7575,JBL VRX932LA-1 CASE,JBL VRX932LA-1 CASE,1,,520,,Audio,,
6552,CPS1215RMS,CYBER POWER- POWER CONDITINER,1,,,,Audio,,
5043,RIO3224D,Yamaha - Rio3224-D,1,,,,Audio,,
6554,AV line M4250-26G4F-POE+,NetGear 24 Port Managed switch,1,,,,Audio,,
6635,RIO3224RACK961,Yamaha- RIO3224 RACK 961,1,,961,,Audio,,
5007,CROWNXTI6002,Crown - XTI 6002,1,,,,Audio,,
2478,DBXDRIVERACKPA,Dbx Drive Rack PA / PA+,1,,,,Audio,,
5005,CROWNXTI6002,Crown - XTI 6002,1,,,,Audio,,
4323,CROWNXTI6002,Crown - XTI 6002,1,,,,Audio,,
6568,XTI6CHAMPRACK,Crown - XTI 6002 6ch Amp Rack,1,,804,,Audio,,
5560,MANFROTTOMHV02ATRIPOD,Manfrotto - MHV02A Fluid Head & 546B Tripod,1,,4X MANFROTTO TRIPOD BAGS,,Video,,
5563,MANFROTTOMHV02ATRIPOD,Manfrotto - MHV02A Fluid Head & 546B Tripod,1,,4X MANFROTTO TRIPOD BAGS,,Video,,
6334,CLEAR COM FREE SPEAK II AC60,CLEAR COM FREE SPEAK II CHARGING PLATE,1,,AVNS01,,Audio,,
5265,MANFROTTOMHV02ATRIPOD,Manfrotto - MHV02A Fluid Head & 546B Tripod,1,,4X MANFROTTO TRIPOD BAGS,,Video,,
6387,AV line M4250-26G4F-POE+,NetGear 24 Port Managed switch,1,,,,Audio,,
6553,CPS1215RMS,CYBER POWER- POWER CONDITINER,1,,,,Audio,,
6390,NEUTRIK NA2-IO-DPRO,NEUTRIK DANTE INTERFACE,1,,,,Audio,,
6389,AVNS 01 CASE,AUDIO TO VIDEO NETWORK DROP,1,,,,Audio,,
6636,AUDIO TO VIDEO NETWORK KIT,Audio to Video Network Kit / AVNS 01,1,,AVNS01,,Audio,,
5562,MANFROTTOMHV02ATRIPOD,Manfrotto - MHV02A Fluid Head & 546B Tripod,1,,4X MANFROTTO TRIPOD BAGS,,Video,,
5355,EON612,JBL - EON612,1,,2X JBL EON612,,Audio,,
5357,EON612,JBL - EON612,1,,2X JBL EON612,,Audio,,
5615,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
4551,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5596,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
4550,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
4549,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5636,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
5633,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
5628,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
4543,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
5624,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
5614,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
4553,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
5621,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
5641,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
5640,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
5642,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
5632,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
4552,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
5625,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
5623,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
4556,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
5602,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5601,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5599,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5600,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5597,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5598,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5608,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5607,SHURELAVWL184,Shure - WL184,1,,2007,,Audio,,
5638,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
5643,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
5639,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
4540,SHUREULXD2WIRELESSHH,Shure - ULXD2/B58 (HH),1,,2007,,Audio,,
5612,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
5627,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
4559,SHUREULXD1WIRELESSBELTPACK,Shure - ULXD1 BP,1,,2007,,Audio,,
4253,SHUREANTENNAUA874US,Shure - UA874US (470-698 MHz),1,,2007,,Audio,,
7301,SHUREANTENNAUA874US,Shure - UA874US (470-698 MHz),1,,2007,,Audio,,
4561,SHUREULXD4QRECEIVER,Shure - ULXD4Q,1,,2007,,Audio,,
4560,SHUREULXD4QRECEIVER,Shure - ULXD4Q,1,,2007,,Audio,,
5644,SHUREULXD4QRECEIVER,Shure - ULXD4Q,1,,2007,,Audio,,
3256,SHUREANTENNADISTROUA845,Shure - UA845 (470-952 MHz),1,,2007,,Audio,,
10003,AABATTERIES,AA Batteries,72,,2007,,Audio,,
5595,SHUREMICCLIPWIRELESSHH,Shure - Wireless Mic Clip,12,,2007,,Audio,,
3257,BNCWIRELESSANTENNACABLE,ASG - LMR-400 - 25' BNC Antenna Cable,2,,2007,,Audio,,
